00.000349,B,slurping,0
00.000369,D,slurping,1
00.000379,F,slurping,2
00.000477,J,slurping,0
00.000483,H,slurping,1
01.000283,A,slurping,2
01.000308,C,slurping,0
01.000322,E,slurping,1
01.000583,G,slurping,2
01.000590,D,swallowing
01.000596,F,swallowing
01.000626,K,slurping,1
01.000632,H,swallowing
01.000660,I,sulking
01.000672,B,swallowing
01.000687,J,swallowing
02.000428,A,swallowing
02.000447,C,swallowing
02.000556,E,swallowing
02.000665,G,swallowing
02.000675,K,swallowing
02.000685,H,idle
02.000699,F,idle
02.000707,H,slurping,2
02.000717,D,idle
02.000722,F,slurping,0
02.000735,D,slurping,1
02.000742,B,idle
02.000756,B,slurping,2
02.000784,J,idle
02.000798,J,slurping,0
03.000548,A,idle
03.000564,C,idle
03.000580,A,slurping,1
03.000594,C,slurping,2
03.000622,E,idle
03.000633,E,slurping,0
03.000737,G,idle
03.000753,G,slurping,1
03.000763,K,idle
03.000773,F,swallowing
03.000821,D,swallowing
03.000863,B,swallowing
03.000870,J,swallowing
03.000893,K,slurping,0
03.000901,H,swallowing
04.000704,A,swallowing
04.000792,C,swallowing
04.000815,E,swallowing
04.000860,F,idle
04.000871,G,swallowing
04.000882,D,idle
04.000898,F,slurping,1
04.000904,D,slurping,2
04.000944,B,idle
04.000954,B,slurping,0
04.000961,J,idle
04.000970,J,slurping,1
04.000990,K,swallowing
04.000996,H,idle
04.001007,H,slurping,2
05.000795,I,idle
05.000815,A,idle
05.000823,I,slurping,0
05.000840,A,slurping,1
05.000862,C,idle
05.000872,C,slurping,2
05.000878,E,idle
05.000892,E,slurping,0
05.000940,G,idle
05.000991,F,swallowing
05.001002,D,swallowing
05.001023,B,swallowing
05.001034,J,swallowing
05.001051,G,slurping,2
05.001107,K,idle
05.001120,K,slurping,0
05.001128,H,swallowing
06.000939,I,swallowing
06.001004,A,swallowing
06.001029,C,swallowing
06.001035,E,swallowing
06.001066,F,idle
06.001071,D,idle
06.001086,F,slurping,1
06.001093,D,slurping,2
06.001102,B,idle
06.001106,J,idle
06.001124,J,slurping,1
06.001130,G,swallowing
06.001142,B,slurping,0
06.001205,K,swallowing
06.001212,H,idle
06.001223,H,slurping,2
07.001064,I,idle
07.001106,A,idle
07.001130,A,slurping,1
07.001150,C,idle
07.001162,C,slurping,2
07.001170,D,swallowing
07.001173,F,swallowing
07.001179,B,swallowing
07.001185,E,idle
07.001206,E,slurping,0
07.001212,I,slurping,0
07.001240,J,swallowing
07.001294,K,idle
07.001304,K,slurping,1
07.001310,H,swallowing
07.001351,G,idle
07.001364,G,slurping,2
08.001256,A,swallowing
08.001270,B,idle
08.001305,B,slurping,0
08.001317,J,idle
08.001346,J,slurping,1
08.001353,F,idle
08.001371,F,slurping,2
08.001379,C,swallowing
08.001399,E,swallowing
08.001406,K,swallowing
08.001425,H,idle
08.001443,H,slurping,0
08.001450,G,swallowing
08.001460,D,idle
08.001470,I,swallowing
08.001472,D,slurping,1
09.001369,A,idle
09.001397,A,slurping,2
09.001424,C,idle
09.001425,B,swallowing
09.001437,J,swallowing
09.001439,E,idle
09.001450,E,slurping,1
09.001456,F,swallowing
09.001461,C,slurping,0
09.001476,K,idle
09.001489,H,swallowing
09.001498,G,idle
09.001505,K,slurping,2
09.001545,I,idle
09.011768,D,swallowing
09.011792,I,slurping,0
09.011941,G,slurping,2
10.001530,A,swallowing
10.001544,J,idle
10.001554,C,swallowing
10.001562,H,idle
10.001585,J,slurping,0
10.001587,H,slurping,1
10.001593,F,idle
10.001611,F,slurping,0
10.001668,K,swallowing
10.001687,B,idle
10.001700,B,slurping,1
10.001709,E,swallowing
10.011850,D,idle
10.011871,D,slurping,2
10.011884,I,swallowing
10.012010,G,swallowing
11.001700,A,idle
11.001719,H,swallowing
11.001731,A,slurping,0
11.001739,F,swallowing
11.001748,K,idle
11.001777,B,swallowing
11.001791,E,idle
11.001794,C,idle
11.001808,C,slurping,2
11.001814,J,swallowing
11.001825,K,slurping,1
11.001881,E,slurping,2
11.011963,D,swallowing
11.011973,I,idle
11.011985,I,slurping,0
11.012083,G,idle
11.012101,G,slurping,1
12.001850,A,swallowing
12.001862,B,idle
12.001891,B,slurping,2
12.002019,E,swallowing
12.002159,H,idle
12.002170,F,idle
12.002181,H,slurping,0
12.002187,F,slurping,1
12.002195,C,swallowing
12.002201,J,idle
12.002211,J,slurping,2
12.002217,K,swallowing
12.012060,D,idle
12.012086,D,slurping,0
12.012093,I,swallowing
12.012170,G,swallowing
13.001969,A,idle
13.001989,B,swallowing
13.002008,A,slurping,1
13.002087,E,idle
13.002101,E,slurping,2
13.002262,F,swallowing
13.002274,C,idle
13.002279,J,swallowing
13.002285,K,idle
13.002301,C,slurping,0
13.002312,K,slurping,1
13.002325,H,swallowing
13.012169,D,swallowing
13.012180,I,idle
13.012196,I,slurping,2
13.012236,G,idle
13.012249,G,slurping,0
14.002122,A,swallowing
14.002165,B,idle
14.002180,E,swallowing
14.002191,B,slurping,1
14.002345,F,idle
14.002351,K,swallowing
14.002370,C,swallowing
14.002387,F,slurping,2
14.002388,J,idle
14.002398,H,idle
14.002406,J,slurping,0
14.002414,H,slurping,1
14.012253,D,idle
14.012269,D,slurping,2
14.012282,I,swallowing
14.012290,G,swallowing
15.002268,A,idle
15.002297,B,swallowing
15.002309,A,slurping,0
15.002316,E,idle
15.002350,E,slurping,1
15.002450,K,idle
15.002468,K,slurping,2
15.002479,F,swallowing
15.002488,H,swallowing
15.002500,C,idle
15.002536,C,slurping,0
15.002549,J,swallowing
15.012385,D,swallowing
15.012404,I,idle
15.012417,G,idle
15.012426,I,slurping,1
15.012440,G,slurping,2
16.002417,A,swallowing
16.002459,B,idle
16.002483,B,slurping,0
16.002514,E,swallowing
16.002547,K,swallowing
16.002559,H,idle
16.002586,F,idle
16.002608,F,slurping,2
16.002615,C,swallowing
16.002622,J,idle
16.002632,J,slurping,0
16.002657,H,slurping,1
16.012481,D,idle
16.012498,D,slurping,1
16.012536,I,swallowing
16.012547,G,swallowing
17.002518,A,idle
17.002547,A,slurping,2
17.002583,B,swallowing
17.002617,E,idle
17.002632,E,slurping,0
17.002646,K,idle
17.002678,K,slurping,1
17.002682,F,swallowing
17.002689,C,idle
17.002702,C,slurping,2
17.002709,J,swallowing
17.002740,H,swallowing
17.012583,D,swallowing
17.012604,I,idle
17.012620,G,idle
17.012626,I,slurping,0
17.012636,G,slurping,1
18.002649,A,swallowing
18.002680,B,idle
18.002710,E,swallowing
18.002717,B,slurping,2
18.002792,F,idle
18.002810,F,slurping,0
18.002818,C,swallowing
18.002825,J,idle
18.002857,J,slurping,1
18.002893,H,idle
18.002907,H,slurping,2
18.002913,K,swallowing
18.012672,I,swallowing
18.012701,D,idle
18.012714,D,slurping,0
18.012737,G,swallowing
19.002752,A,idle
19.002796,A,slurping,1
19.002821,E,idle
19.002847,B,swallowing
19.002856,E,slurping,2
19.002877,F,swallowing
19.002884,C,idle
19.002899,J,swallowing
19.002988,H,swallowing
19.003000,K,idle
19.003017,C,slurping,0
19.003031,K,slurping,1
19.012749,I,idle
19.012778,I,slurping,2
19.012796,G,idle
19.012814,D,swallowing
19.012818,G,slurping,0
20.002913,A,swallowing
20.002924,B,idle
20.002951,B,slurping,1
20.002976,J,idle
20.002988,E,swallowing
20.002991,J,slurping,2
20.003001,F,idle
20.003026,F,slurping,0
20.003057,H,idle
20.003071,H,slurping,1
20.003088,C,swallowing
20.003094,K,swallowing
20.012858,I,swallowing
20.012895,G,swallowing
20.012905,D,idle
20.012923,D,slurping,2
21.003038,A,idle
21.003067,B,swallowing
21.003074,A,slurping,0
21.003078,E,idle
21.003083,J,swallowing
21.003104,E,slurping,1
21.003112,F,swallowing
21.003160,C,idle
21.003171,C,slurping,2
21.003177,K,idle
21.003186,K,slurping,0
21.003204,H,swallowing
21.012937,I,idle
21.012955,I,slurping,1
21.012971,G,idle
21.012983,G,slurping,2
21.013008,D,swallowing
22.003181,B,idle
22.003214,B,slurping,0
22.003232,E,swallowing
22.003243,A,swallowing
22.003249,H,idle
22.003263,H,slurping,1
22.003269,F,idle
22.003284,F,slurping,2
22.003291,C,swallowing
22.003303,K,swallowing
22.003313,J,idle
22.003338,J,slurping,0
22.013050,D,idle
22.013078,I,swallowing
22.013143,D,slurping,1
22.013155,G,swallowing
23.003350,B,swallowing
23.003362,F,swallowing
23.003378,H,swallowing
23.003399,E,idle
23.003428,E,slurping,2
23.003436,J,swallowing
23.003443,A,idle
23.003464,A,slurping,0
23.003474,K,idle
23.003497,K,slurping,1
23.003533,C,idle
23.003545,C,slurping,2
23.013163,I,idle
23.013184,I,slurping,0
23.013219,D,swallowing
23.013225,G,idle
23.013239,G,slurping,1
24.003488,B,idle
24.003502,E,swallowing
24.003514,J,idle
24.003526,B,slurping,2
24.003553,J,slurping,0
24.003561,A,swallowing
24.003580,K,swallowing
24.003608,H,idle
24.003620,H,slurping,1
24.003629,C,swallowing
24.003634,F,idle
24.003649,F,slurping,2
24.013266,I,swallowing
24.013275,D,idle
24.013318,D,slurping,0
24.013285,G,swallowing
25.003623,A,idle
25.003641,B,swallowing
25.003653,A,slurping,1
25.003657,K,idle
25.003663,E,idle
25.003687,H,swallowing
25.003693,K,slurping,2
25.003698,F,swallowing
25.003693,E,slurping,0
25.003703,C,idle
25.003718,C,slurping,1
25.003824,J,swallowing
25.013353,I,idle
25.013367,D,swallowing
25.013370,I,slurping,2
25.013400,G,idle
25.013411,G,slurping,0
26.003771,B,idle
26.003803,B,slurping,1
26.003816,C,swallowing
26.003844,K,swallowing
26.003854,A,swallowing
26.003869,H,idle
26.003893,H,slurping,2
26.003914,J,idle
26.003922,F,idle
26.003928,J,slurping,0
26.003936,F,slurping,1
26.003942,E,swallowing
26.013450,D,idle
26.013468,I,swallowing
26.013473,D,slurping,2
26.013480,G,swallowing
27.003929,B,swallowing
27.003940,H,swallowing
27.003953,C,idle
27.003984,C,slurping,0
27.004004,K,idle
27.004020,J,swallowing
27.004023,F,swallowing
27.004035,E,idle
27.004053,E,slurping,2
27.004060,A,idle
27.004072,A,slurping,0
27.004078,K,slurping,1
27.013551,D,swallowing
27.013582,G,idle
27.013605,G,slurping,1
27.013629,I,idle
27.013640,I,slurping,2
28.004052,C,swallowing
28.004081,B,idle
28.004094,J,idle
28.004111,B,slurping,0
28.004119,J,slurping,1
28.004127,F,idle
28.004146,F,slurping,2
28.004153,E,swallowing
28.004160,A,swallowing
28.004167,K,swallowing
28.004176,H,idle
28.004191,H,slurping,0
28.013641,D,idle
28.013661,D,slurping,1
28.013681,G,swallowing
28.013694,I,swallowing
29.004145,C,idle
29.004168,C,slurping,2
29.004187,J,swallowing
29.004204,B,swallowing
29.004267,H,swallowing
29.004284,F,swallowing
29.004296,E,idle
