00.000335,C,slurping,1
00.000355,A,slurping,0
00.000371,E,slurping,2
00.000415,G,slurping,0
00.000525,K,slurping,1
00.000533,I,slurping,2
01.000476,C,swallowing
01.000508,A,swallowing
01.000518,G,swallowing
01.000524,E,swallowing
01.000604,K,swallowing
01.000611,I,swallowing
01.001200,B,slurping,0
01.001254,D,slurping,1
01.001569,F,slurping,2
01.001655,J,slurping,0
01.001766,H,slurping,1
02.000599,C,idle
02.000614,A,idle
02.000639,C,slurping,2
02.000660,A,slurping,0
02.000670,G,idle
02.000681,G,slurping,1
02.000688,E,idle
02.000696,K,idle
02.000700,E,slurping,2
02.000715,I,idle
02.011657,J,swallowing
02.011666,H,swallowing
02.011693,B,swallowing
02.011703,D,swallowing
02.011709,F,swallowing
02.011828,I,slurping,1
02.011886,K,slurping,2
03.000758,C,swallowing
03.000778,A,swallowing
03.000794,G,swallowing
03.000801,E,swallowing
03.011750,J,idle
03.011767,B,idle
03.011773,J,slurping,0
03.011788,B,slurping,1
03.011795,D,idle
03.011807,D,slurping,2
03.011815,F,idle
03.011819,H,idle
03.011832,F,slurping,0
03.011837,H,slurping,1
03.011919,I,swallowing
03.011958,K,swallowing
04.000897,C,idle
04.000917,G,idle
04.000932,C,slurping,2
04.000942,G,slurping,0
04.000952,A,idle
04.000962,A,slurping,1
04.000968,E,idle
04.000979,E,slurping,2
04.011854,J,swallowing
04.011873,B,swallowing
04.011885,D,swallowing
04.011893,H,swallowing
04.011901,F,swallowing
04.011997,I,idle
04.012005,K,idle
04.022766,K,slurping,1
04.022837,I,slurping,0
05.001036,C,swallowing
05.001059,G,swallowing
05.001070,A,swallowing
05.001076,E,swallowing
05.011947,J,idle
05.011956,D,idle
05.011971,J,slurping,1
05.011978,D,slurping,2
05.011980,F,idle
05.011986,B,idle
05.011990,F,slurping,0
05.011998,B,slurping,1
05.012003,H,idle
05.012013,H,slurping,2
05.022899,K,swallowing
05.022932,I,swallowing
06.001137,C,idle
06.001183,G,idle
06.001193,C,slurping,0
06.001207,G,slurping,1
06.001209,E,idle
06.001225,E,slurping,2
06.001265,A,idle
06.001278,A,slurping,0
06.012057,F,swallowing
06.012068,B,swallowing
06.012077,H,swallowing
06.012084,J,swallowing
06.012096,D,swallowing
06.022979,K,idle
06.022995,K,slurping,1
06.023005,I,idle
06.023023,I,slurping,2
07.001308,C,swallowing
07.001332,E,swallowing
07.001340,G,swallowing
07.001347,A,swallowing
07.012133,F,idle
07.012141,D,idle
07.012155,F,slurping,0
07.012159,D,slurping,1
07.012167,B,idle
07.012177,B,slurping,2
07.012183,H,idle
07.012194,J,idle
07.012199,H,slurping,0
07.012208,J,slurping,1
07.023090,K,swallowing
07.023115,I,swallowing
08.001418,C,idle
08.001434,A,idle
08.001448,C,slurping,2
08.001463,A,slurping,0
08.001477,G,idle
08.001482,E,idle
08.001489,G,slurping,1
08.001493,E,slurping,2
08.012233,F,swallowing
08.012259,J,swallowing
08.012274,B,swallowing
08.012279,D,swallowing
08.012281,H,swallowing
08.023174,K,idle
08.023186,I,idle
08.023192,K,slurping,0
08.023204,I,slurping,1
09.001566,C,swallowing
09.001586,E,swallowing
09.001596,G,swallowing
09.001607,A,swallowing
09.012341,F,idle
09.012353,H,idle
09.012369,F,slurping,2
09.012374,H,slurping,0
09.012383,B,idle
09.012395,B,slurping,1
09.012406,D,idle
09.012422,J,idle
09.012435,J,slurping,0
09.012446,D,slurping,2
09.023327,K,swallowing
09.023349,I,swallowing
10.001677,C,idle
